Product_ID,Warehouse,Order_Date,Shipment_Date,Lead_Time,Demand_Forecast,Inventory_Level,Stockout_Flag,Backorder_Flag,Supplier_ID,Order_Quantity,Shipment_Quantity,Product_Category,Product_Price,Customer_ID,Order_Priority,Revenue
8270,A,2023-01-01,2023-01-02,8,839,481,0,0,397,98,40,Clothing,387.89,2014,High,38013.22
1860,C,2023-01-01,2023-01-02,8,351,332,0,1,483,52,35,Furniture,891.03,6805,High,46333.56
6390,C,2023-01-01,2023-01-02,5,398,156,0,0,160,34,43,Food,933.21,3833,Medium,31729.14
6191,A,2023-01-01,2023-01-02,5,972,418,1,0,161,32,45,Electronics,628.57,3640,Medium,20114.24
6734,D,2023-01-01,2023-01-02,3,529,428,0,0,325,44,41,Electronics,70.33,9297,Medium,3094.52
7265,A,2023-01-01,2023-01-02,7,103,457,1,1,354,4,64,Food,471.94,3590,Low,1887.76
1466,C,2023-01-01,2023-01-02,6,752,221,0,0,352,48,15,Clothing,26.76,8543,Medium,1284.48
5426,C,2023-01-01,2023-01-02,1,777,363,0,0,376,98,44,Electronics,522.83,7374,Low,51237.340000000004
6578,D,2023-01-01,2023-01-02,4,353,345,0,0,258,16,42,Clothing,506.4,5052,Low,8102.4
9322,A,2023-01-01,2023-01-02,6,764,98,0,0,338,60,59,Furniture,423.09,3230,Low,25385.399999999998
2685,C,2023-01-01,2023-01-02,6,678,219,0,0,142,47,85,Clothing,343.64,1925,Medium,16151.08
1769,C,2023-01-01,2023-01-02,3,666,412,0,0,462,75,4,Food,583.18,3705,High,43738.49999999999
7949,A,2023-01-01,2023-01-02,6,195,243,0,0,413,15,71,Clothing,185.02,3992,Medium,2775.3
3433,A,2023-01-01,2023-01-02,6,266,453,1,1,251,94,29,Electronics,36.06,5361,Medium,3389.6400000000003
6311,B,2023-01-01,2023-01-02,9,932,258,1,1,400,56,41,Electronics,788.83,6659,Medium,44174.48
6051,D,2023-01-01,2023-01-02,9,430,476,0,1,179,91,6,Furniture,787.74,2376,Medium,71684.34
