Product_ID,Warehouse,Order_Date,Shipment_Date,Lead_Time,Demand_Forecast,Inventory_Level,Stockout_Flag,Backorder_Flag,Supplier_ID,Order_Quantity,Shipment_Quantity,Product_Category,Product_Price,Customer_ID,Order_Priority
8270,A,1/1/2023,1/2/2023,8,839,481,0,0,397,98,40,Clothing,387.89,2014,High
1860,C,1/1/2023,1/2/2023,8,351,332,0,1,483,52,35,Furniture,891.03,6805,High
6390,C,1/1/2023,1/2/2023,5,398,156,0,0,160,34,43,Food,933.21,3833,Medium
6191,A,1/1/2023,1/2/2023,5,972,418,1,0,161,32,45,Electronics,628.57,3640,Medium
6734,D,1/1/2023,1/2/2023,3,529,428,0,0,325,44,41,Electronics,70.33,9297,Medium
7265,A,1/1/2023,1/2/2023,7,103,457,1,1,354,4,64,Food,471.94,3590,Low
1466,C,1/1/2023,1/2/2023,6,752,221,0,0,352,48,15,Clothing,26.76,8543,Medium
5426,C,1/1/2023,1/2/2023,1,777,363,0,0,376,98,44,Electronics,522.83,7374,Low
6578,D,1/1/2023,1/2/2023,4,353,345,0,0,258,16,42,Clothing,506.4,5052,Low
9322,A,1/1/2023,1/2/2023,6,764,98,0,0,338,60,59,Furniture,423.09,3230,Low
2685,C,1/1/2023,1/2/2023,6,678,219,0,0,142,47,85,Clothing,343.64,1925,Medium
1769,C,1/1/2023,1/2/2023,3,666,412,0,0,462,75,4,Food,583.18,3705,High
7949,A,1/1/2023,1/2/2023,6,195,243,0,0,413,15,71,Clothing,185.02,3992,Medium
3433,A,1/1/2023,1/2/2023,6,266,453,1,1,251,94,29,Electronics,36.06,5361,Medium
6311,B,1/1/2023,1/2/2023,9,932,258,1,1,400,56,41,Electronics,788.83,6659,Medium
6051,D,1/1/2023,1/2/2023,9,430,476,0,1,179,91,6,Furniture,787.74,2376,Medium
7420,D,1/1/2023,1/2/2023,2,997,440,0,0,236,16,39,Electronics,583.61,5582,Medium
2184,A,1/1/2023,1/2/2023,4,987,193,0,0,312,1,81,Food,831.79,1913,Medium
5555,D,1/1/2023,1/2/2023,9,953,374,0,0,485,25,66,Food,517.82,6994,High
4385,C,1/1/2023,1/2/2023,4,161,149,0,0,264,64,81,Electronics,16.48,3952,Medium
7396,A,1/1/2023,1/2/2023,8,273,493,0,0,482,92,93,Electronics,156.79,8387,High
9666,A,1/1/2023,1/2/2023,3,352,366,0,0,264,43,27,Electronics,464.97,8867,Low
3558,A,1/1/2023,1/2/2023,3,560,497,0,0,296,14,7,Electronics,863.65,3713,Low
8849,B,1/1/2023,1/2/2023,9,723,154,0,0,401,98,11,Furniture,233.33,6104,High
3047,D,1/2/2023,1/3/2023,8,314,498,1,0,361,48,90,Furniture,43.7,7931,High
3747,B,1/2/2023,1/3/2023,1,338,21,0,1,147,68,32,Furniture,418.38,2039,Low
1189,C,1/2/2023,1/3/2023,2,514,457,0,0,226,14,87,Furniture,76.05,7815,Medium
3734,D,1/2/2023,1/3/2023,3,838,115,0,0,467,80,51,Furniture,554.92,8797,Medium
4005,B,1/2/2023,1/3/2023,2,841,112,0,0,235,15,40,Electronics,65.07,9714,High
5658,A,1/2/2023,1/3/2023,3,844,432,0,0,131,98,7,Clothing,26.46,5413,Low
2899,B,1/2/2023,1/3/2023,8,774,210,1,1,200,77,1,Furniture,943.82,2142,Medium
8734,A,1/2/2023,1/3/2023,6,225,23,0,0,176,17,25,Clothing,668.64,1741,High
2267,B,1/2/2023,1/3/2023,7,352,282,1,0,294,92,95,Furniture,128.29,5875,Low
2528,B,1/2/2023,1/3/2023,6,944,291,0,0,300,52,6,Clothing,560.65,1312,Low
4556,B,1/2/2023,1/3/2023,1,810,362,0,0,167,10,92,Electronics,265.8,4144,High
4890,A,1/2/2023,1/3/2023,3,296,400,0,0,127,17,95,Electronics,763.47,7471,High
9838,B,1/2/2023,1/3/2023,1,733,55,0,0,499,8,16,Food,816.06,9798,Low
6393,D,1/2/2023,1/3/2023,9,512,265,1,1,156,2,15,Electronics,512.53,2631,Medium
9792,D,1/2/2023,1/3/2023,9,555,53,0,0,302,56,22,Food,415.4,7262,Low
9433,D,1/2/2023,1/3/2023,5,875,336,0,0,154,65,18,Clothing,324.02,1021,Medium
8513,A,1/2/2023,1/3/2023,4,153,107,0,0,182,55,50,Furniture,42.51,3404,Low
3612,A,1/2/2023,1/3/2023,9,746,201,0,0,205,69,72,Electronics,565.12,3625,Medium
8041,D,1/2/2023,1/3/2023,9,438,201,0,0,350,99,10,Food,513.84,1953,Low
7235,D,1/2/2023,1/3/2023,3,458,421,0,0,441,86,49,Clothing,220.89,8098,High
6486,D,1/2/2023,1/3/2023,5,250,336,0,1,431,80,70,Furniture,536.73,4908,Low
8099,C,1/2/2023,1/3/2023,3,199,382,0,0,459,73,10,Electronics,472.96,5614,High
1775,D,1/2/2023,1/3/2023,2,333,473,0,0,232,36,39,Furniture,268.07,4659,Medium
9226,B,1/2/2023,1/3/2023,1,643,217,0,0,456,9,58,Furniture,745.67,9394,Medium
4152,C,1/3/2023,1/4/2023,2,161,242,1,1,291,14,71,Electronics,253.42,8725,Low
2585,C,1/3/2023,1/4/2023,8,295,353,0,0,131,74,42,Food,456.53,5091,High
4943,A,1/3/2023,1/4/2023,8,641,387,0,0,197,22,45,Electronics,538.08,2830,High
8555,B,1/3/2023,1/4/2023,3,854,177,0,0,367,16,99,Food,813.24,9386,Medium
4073,A,1/3/2023,1/4/2023,7,205,474,0,0,206,41,28,Food,426.34,5054,Low
2021,A,1/3/2023,1/4/2023,7,394,60,0,0,165,67,89,Furniture,214.93,7466,High
4843,B,1/3/2023,1/4/2023,2,744,404,0,0,151,28,92,Food,24.67,6731,High
8989,A,1/3/2023,1/4/2023,9,550,35,1,0,298,94,73,Food,259.54,6877,Low
7873,B,1/3/2023,1/4/2023,3,633,357,0,0,387,29,5,Electronics,753.02,2638,High
6675,B,1/3/2023,1/4/2023,2,255,45,0,0,331,65,57,Food,822.27,9407,Medium
1161,A,1/3/2023,1/4/2023,3,505,94,0,1,262,28,80,Electronics,604.68,3781,Medium
5297,D,1/3/2023,1/4/2023,2,995,326,0,0,340,86,29,Electronics,948.85,1675,Low
1995,A,1/3/2023,1/4/2023,8,825,43,0,0,489,32,55,Clothing,526.96,3946,High
8629,C,1/3/2023,1/4/2023,5,837,319,1,1,121,52,23,Food,484.53,6573,Medium
2016,A,1/3/2023,1/4/2023,3,896,225,1,1,316,11,57,Electronics,834.51,6983,High
8869,B,1/3/2023,1/4/2023,5,782,145,0,0,274,26,18,Electronics,175.33,4141,Medium
7439,C,1/3/2023,1/4/2023,8,653,471,0,1,496,31,26,Furniture,24.99,7762,Medium
8892,B,1/3/2023,1/4/2023,7,671,268,0,0,378,20,5,Food,882.98,8235,Medium
7863,D,1/3/2023,1/4/2023,6,474,12,0,0,271,84,8,Food,538.77,4212,High
8916,D,1/3/2023,1/4/2023,1,688,24,0,0,108,97,19,Furniture,747.45,2258,Medium
9529,C,1/3/2023,1/4/2023,1,554,260,0,0,461,69,28,Electronics,632.63,1962,Low
1878,D,1/3/2023,1/4/2023,1,301,127,0,1,158,41,68,Furniture,667.25,6474,Low
5887,D,1/3/2023,1/4/2023,8,831,38,0,0,216,67,84,Clothing,591.47,5587,High
5859,A,1/3/2023,1/4/2023,8,551,156,0,0,200,44,50,Electronics,727.95,6143,Medium
7331,A,1/4/2023,1/5/2023,7,286,363,0,1,344,60,86,Food,122.36,8831,Low
9571,D,1/4/2023,1/5/2023,6,707,184,0,0,385,98,76,Furniture,258.42,8480,Low
9684,D,1/4/2023,1/5/2023,4,953,173,0,0,439,95,65,Furniture,484.34,7509,Medium
8208,A,1/4/2023,1/5/2023,1,823,416,0,0,399,7,8,Electronics,719.3,4301,High
6276,D,1/4/2023,1/5/2023,9,467,471,0,0,276,94,60,Furniture,315.41,3884,High
3062,D,1/4/2023,1/5/2023,1,439,393,0,0,115,54,58,Furniture,809.15,8486,High
1064,B,1/4/2023,1/5/2023,4,361,185,0,1,220,63,27,Food,74.69,9691,High
9006,D,1/4/2023,1/5/2023,3,940,280,1,0,313,82,85,Furniture,792.99,7017,Medium
3568,C,1/4/2023,1/5/2023,7,688,488,0,0,329,80,33,Electronics,702.07,6319,High
6463,B,1/4/2023,1/5/2023,5,642,73,0,0,429,13,97,Electronics,74.61,1247,Medium
3027,C,1/4/2023,1/5/2023,5,650,294,1,1,183,33,46,Furniture,41.32,4309,Medium
3695,D,1/4/2023,1/5/2023,4,405,15,0,0,280,7,37,Furniture,841.51,9176,Medium
6258,A,1/4/2023,1/5/2023,1,945,187,0,1,332,30,69,Food,153.35,8045,High
6618,B,1/4/2023,1/5/2023,5,825,411,0,0,485,11,15,Furniture,260.77,4824,High
7736,A,1/4/2023,1/5/2023,4,737,459,0,0,422,70,94,Electronics,897.33,8655,Medium
1391,B,1/4/2023,1/5/2023,8,264,171,0,0,141,21,67,Furniture,349.45,6762,Medium
6892,A,1/4/2023,1/5/2023,2,857,185,0,0,491,32,28,Furniture,535.13,3606,Medium
4561,B,1/4/2023,1/5/2023,8,720,31,0,0,172,5,63,Furniture,40.71,4546,Medium
7184,B,1/4/2023,1/5/2023,1,187,62,0,0,354,93,94,Clothing,573.32,9015,Medium
4099,C,1/4/2023,1/5/2023,4,299,498,0,0,447,35,3,Clothing,716.39,8951,Low
7278,A,1/4/2023,1/5/2023,3,370,348,0,0,470,47,52,Furniture,569.46,4568,Medium
9392,C,1/4/2023,1/5/2023,5,150,300,0,0,452,12,44,Furniture,810.59,3954,Medium
4104,C,1/4/2023,1/5/2023,5,588,308,0,0,287,37,60,Clothing,778.79,6143,Low
8215,A,1/4/2023,1/5/2023,5,297,188,0,0,389,44,58,Food,484.32,6278,Low
3454,B,1/5/2023,1/6/2023,4,122,305,1,1,487,22,95,Furniture,648.66,6463,Medium
9996,C,1/5/2023,1/6/2023,8,764,410,0,1,339,11,14,Furniture,283.87,2399,Medium
